,Tempi,Vout (RC=1),Vout (RC=0.1),Vout (RC=0.01)
207,2.07,-0.30495634897394897,0.00687447441159432,-1.0000000000000617
208,2.08,-0.29197181643518944,0.10138286481347962,-1.0000000000000617
209,2.09,-0.2791164821464219,0.18689759443502033,-1.0000000000000615
210,2.1,-0.26638906050734984,0.2642745161622798,-1.0000000000000613
211,2.11,-0.25378827884660426,0.3342880508668271,-1.000000000000061
212,2.12,-0.24131287707281132,0.3976389177362346,-1.0000000000000608
213,2.13,-0.22896160760118928,0.4549611531913288,-1.0000000000000606
214,2.14,-0.21673323529608698,0.5068284568034395,-1.0000000000000606
215,2.15,-0.2046265373408563,0.5537599341453928,-1.0000000000000604
216,2.16,-0.1926403030470506,0.5962252907794193,-1.0000000000000602
217,2.17,-0.18077333376129287,0.634649534480246,-1.00000000000006
218,2.18,-0.16902444279677714,0.6694172276366757,-1.0000000000000597
219,2.19,-0.15739245526126122,0.7008763352063013,-1.0000000000000595
220,2.2,-0.1458762079330738,0.7293417145368541,-1.0000000000000593
221,2.21,-0.13447454916654522,0.7550982540089329,-1.0000000000000593
222,2.22,-0.12318633880865712,0.778403735595333,-1.000000000000059
223,2.23,-0.11201044802871478,0.7994914073882057,-1.0000000000000588
224,2.24,-0.1009457592106506,0.8185723213849145,-1.0000000000000586
225,2.25,-0.08999116598488954,0.8358374473483344,-1.0000000000000584
226,2.2600000000000002,-0.07914557299448775,0.8514595786552834,-1.0000000000000582
227,2.27,-0.06840789569036325,0.8655950683594935,-1.000000000000058
228,2.2800000000000002,-0.05777706029393784,0.8783853879152587,-1.000000000000058
229,2.29,-0.047252003684101054,0.8899585478245853,-1.0000000000000577
230,2.3000000000000003,-0.03683167328548575,0.9004303762026848,-1.0000000000000575
231,2.31,-0.026515026958069853,0.9099056780220701,-1.0000000000000573
232,2.32,-0.016301032888090292,0.9184792856536356,-1.000000000000057
233,2.33,-0.00618866948028033,0.9262370045320149,-1.0000000000000568
234,2.34,0.0038230747481286242,0.9332564813077948,-1.0000000000000568
235,2.35,0.01373520083945802,0.9396079658328763,-1.0000000000000566
236,2.36,0.023548699753458885,0.9453550277957569,-1.0000000000000564
237,2.37,0.03326455286753524,0.9505551832266995,-1.0000000000000562
238,2.38,0.042883731783774484,0.9552604795106572,-1.000000000000056
239,2.39,0.05240719842100156,0.9595180067347101,-1.0000000000000557
240,2.4,0.06183590510516318,0.9633703777995849,-1.0000000000000555
241,2.41,0.07117079465805555,0.9668561467424498,-1.0000000000000555
242,2.42,0.08041280048438236,0.9700102013556781,-1.0000000000000553
243,2.43,0.08956284665715618,0.97286410721154,-1.000000000000055
244,2.44,0.09862184800143016,0.975446428787969,-1.0000000000000548
245,2.45,0.10759071058132545,0.9777830096008274,-1.0000000000000546
246,2.46,0.1164703316532524,0.9798972357990472,-1.0000000000000544
247,2.47,0.12526159919881064,0.9818102663545463,-1.0000000000000544
248,2.48,0.13396539234964466,0.9835412483321165,-1.0000000000000542
249,2.49,0.14258258147137298,0.9851075052347675,-1.000000000000054
250,2.5,0.15111402824595607,0.9865247134931006,-1.0000000000000537
251,2.5100000000000002,0.15956058575277215,0.9878070563431931,-1.0000000000000535
252,2.52,0.1679230985483892,0.9889673683386789,-1.0000000000000533
253,2.5300000000000002,0.17620240274504456,0.9900172617885051,-1.000000000000053
254,2.54,0.1843993260878208,0.990967244915434,-1.000000000000053
255,2.5500000000000003,0.19251468835775842,0.9918268250352685,-1.0000000000000528
256,2.56,0.20054930145100952,0.9926046054737075,-1.0000000000000526
257,2.57,0.2085039688444585,0.9933083701747184,-1.0000000000000524
258,2.58,0.2163794860147079,0.9939451629361925,-1.0000000000000522
259,2.59,0.22417664051906264,0.9945213567208665,-1.000000000000052
260,2.6,0.23189621207290273,0.995042718559079,-1.000000000000052
261,2.61,0.23953897262609192,0.9955144661752637,-1.0000000000000517
262,2.62,0.24710568643843267,0.9959413211557324,-1.0000000000000515
263,2.63,0.25459711015415687,0.9963275554240438,-1.0000000000000513
264,2.64,0.2620139928754627,0.996677034601135,-1.000000000000051
265,2.65,0.26935707631337313,0.996993255918009,-1.0000000000000508
266,2.66,0.2766270948909181,0.997279385153227,-1.0000000000000506
267,2.67,0.2838247756223179,0.9975382859672133,-1.0000000000000506
268,2.68,0.2909508382825411,0.9977725491943755,-1.0000000000000504
269,2.69,0.2980059954802712,0.9979845196465381,-1.0000000000000502
270,2.7,0.3049909527278979,0.9981763190498799,-1.00000000000005
271,2.71,0.31190640851063917,0.9983498656033176,-1.0000000000000497
272,2.72,0.31875305435480233,0.9985068970987668,-1.0000000000000495
273,2.73,0.3255315748951762,0.9986489850525302,-1.0000000000000493
274,2.74,0.3322426479415628,0.9987775510904,-1.0000000000000493
275,2.75,0.3388869446102526,0.9988938829552148,-1.000000000000049
276,2.7600000000000002,0.34546512944617125,0.99899914387157,-1.0000000000000488
277,2.77,0.35197786028051775,0.9990943881893435,-1.0000000000000486
278,2.7800000000000002,0.35842578839277917,0.9991805687196657,-1.0000000000000484
279,2.79,0.364809558579134,0.9992585478836873,-1.0000000000000482
280,2.8000000000000003,0.3711298092159652,0.9993291065875831,-1.0000000000000482
281,2.81,0.3773871723225969,0.9993929504643304,-1.000000000000048
282,2.82,0.3835822736232622,0.9994507190484972,-1.0000000000000477
283,2.83,0.3897157326082971,0.9995029901031196,-1.0000000000000475
284,2.84,0.3957881625945614,0.9995502868929742,-1.0000000000000473
285,2.85,0.40180017082696357,0.9995930829024,-1.000000000000047
286,2.86,0.4077523585977788,0.9996318061477748,-1.0000000000000469
287,2.87,0.4136453211393257,0.999666844518758,-1.0000000000000469
288,2.88,0.41947964775421476,0.9996985484921329,-1.0000000000000466
289,2.89,0.42525592187862843,0.9997272358458271,-1.0000000000000464
290,2.9,0.43097472113974267,0.9997531934801213,-1.0000000000000462
291,2.91,0.4366366174124507,0.9997766801601676,-1.000000000000046
292,2.92,0.44224217687538026,0.9997979311854611,-1.0000000000000457
293,2.93,0.4477919600662133,0.9998171596820857,-1.0000000000000457
294,2.94,0.4532865219362989,0.9998345588126688,-1.0000000000000455
295,2.95,0.45872641191767144,0.9998503016742952,-1.0000000000000453
296,2.96,0.46411217403131494,0.9998645464686915,-1.000000000000045
297,2.97,0.46944434690638437,0.9998774367238227,-1.0000000000000449
